logo,name,lastname,body,product,quantity,price
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-3-1.png" alt="" class="wp-image-34"/></figure>,wendy,moran,We appreciate your purchase through PayPal. Get ready for an amazing shopping experience!,BTC(Bitcoin),0.025,$399.11 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-6.png" alt="" class="wp-image-73"/></figure>,Deborah,Delia,Thank you for choosing PayPal. Your order has been received and is being processed.,Bitcoin/BTC,0.025,$220.76 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-4-1.png" alt="" class="wp-image-37"/></figure>,Kimberly,Ryan,Thank you for trusting PayPal with your order. We can't wait for you to receive it!,BTC(Bitcoin),0.025,$253.11 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-7-1.png" alt="" class="wp-image-49"/></figure>,Christina,Oh,Your order has been successfully placed. We appreciate your trust in PayPal.,BTC,0.025,$399.11 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-3-1.png" alt="" class="wp-image-34"/></figure>,Dominick,Hicks,Your order with PayPal is confirmed. We hope you're eagerly awaiting its arrival!,BTC(Bitcoin),0.025,$548.66 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-2.png" alt="" class="wp-image-64"/></figure>,Ryan,Stuber,Thank you for placing your order. We're excited to fulfill it with PayPal.,BTC/Bitcoin,0.025,$450.76 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-5-1.png" alt="" class="wp-image-70"/></figure>,Annette,Phillips,Thank you for choosing PayPal. Your order is confirmed and on its way!,BTC/Bitcoin,0.025,$455.54 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-4-1.png" alt="" class="wp-image-67"/></figure>,Ben,Cary,We're thrilled to have received your order through PayPal. Thank you for your business!,BTC-Bitcon,0.025,$458.33 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-7-1.png" alt="" class="wp-image-49"/></figure>,Michael,McDonald,Thank you for choosing PayPal for your purchase. Your order is confirmed and in progress.,BTC(Bitcoin),0.025,$450.76 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-4-1.png" alt="" class="wp-image-67"/></figure>,Elizabeth,VanDyck,We're thrilled to have processed your order successfully. Get ready for an amazing shopping experience!,(Bitcoin)BTC,0.025,$154.66 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-4-1.png" alt="" class="wp-image-67"/></figure>,Brandon,Forshey,Congratulations on your purchase through PayPal. Your order is on its way!,(BTC)Bitcoin,0.025,$152.35 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-6.png" alt="" class="wp-image-73"/></figure>,donna,pleasant,We appreciate your purchase through PayPal. Get ready for an amazing shopping experience!,(Bitcoin)BTC,0.025,$152.43 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-3-1.png" alt="" class="wp-image-34"/></figure>,Tamara,Burke,Thank you for trusting PayPal with your order. We can't wait for you to receive it!,BTC,0.025,$455.54 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-1-1.png" alt="" class="wp-image-57"/></figure>,Kelsey,Janes,Thank you for trusting PayPal with your order. We can't wait for you to receive it!,BTC/Bitcoin,0.025,$450.76 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-5-2.png" alt="" class="wp-image-43"/></figure>,Starr,Brazeal,Thank you for choosing PayPal. Your order is confirmed and on its way!,BTC(Bitcoin),0.025,$458.33 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-1.png" alt="" class="wp-image-19"/></figure>,Lora,Lagsdon,We're delighted to have received your order. Thank you for choosing PayPal!,(Bitcoin)BTC,0.025,$154.66 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-3-1.png" alt="" class="wp-image-34"/></figure>,michael,gray,Thank you for choosing PayPal. Your order is confirmed and on its way!,BTC,0.025,$152.43 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-3-1.png" alt="" class="wp-image-61"/></figure>,Rebecca,Ramirez,Congratulations! Your order is confirmed and in progress with PayPal.,(BTC)Bitcoin,0.025,$458.33 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-4-1.png" alt="" class="wp-image-37"/></figure>,Aimee,Kelley,Thank you for trusting PayPal with your purchase. Your order has been received and is being processed.,BTC(Bitcoin),0.025,$455.54 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-1.png" alt="" class="wp-image-19"/></figure>,Irma,Espinoza,Thank you for choosing PayPal for your purchase. Your order is confirmed and in progress.,(BTC)Bitcoin,0.025,$156.98 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-4-1.png" alt="" class="wp-image-67"/></figure>,Frida,DeSena,We appreciate your purchase through PayPal. Get ready for an amazing shopping experience!,(Bitcoin)BTC,0.025,$450.76 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-1.png" alt="" class="wp-image-19"/></figure>,Alex,Rizk,We're thrilled to have processed your order successfully. Get ready for an amazing shopping experience!,BTC-Bitcon,0.025,$455.54 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-6-1.png" alt="" class="wp-image-46"/></figure>,yelena,pesic,Your order with PayPal is confirmed. We hope you're eagerly awaiting its arrival!,(Bitcoin)BTC,0.025,$253.11 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-6.png" alt="" class="wp-image-73"/></figure>,Alexander,Frey,We appreciate your business. Your order has been successfully processed through PayPal.,(BTC)Bitcoin,0.025,$450.76 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-4-1.png" alt="" class="wp-image-67"/></figure>,Eric,Lloyd,Congratulations on your purchase through PayPal. Your order is on its way!,BTC-Bitcon,0.025,$152.35 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-4-1.png" alt="" class="wp-image-67"/></figure>,joe,smith,We're thrilled to have received your order through PayPal. Thank you for your business!,BTC-Bitcon,0.025,$450.76 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-5-1.png" alt="" class="wp-image-70"/></figure>,Michael,Rivera,Thank you for placing your order. We're excited to fulfill it with PayPal.,BTC,0.025,$253.11 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-5-1.png" alt="" class="wp-image-70"/></figure>,Kurtis,Webb,We're delighted to have received your order. Thank you for choosing PayPal!,BTC/Bitcoin,0.025,$152.43 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-7-1.png" alt="" class="wp-image-49"/></figure>,James,Wittich,Your order has been successfully placed. We appreciate your trust in PayPal.,BTC/Bitcoin,0.025,$152.35 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-4-1.png" alt="" class="wp-image-37"/></figure>,John,Catrino,Congratulations on your order! We're as excited as you are at PayPal.,BTC/Bitcoin,0.025,$220.76 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-1-1.png" alt="" class="wp-image-57"/></figure>,amber,glover,We're delighted to have received your order. Thank you for choosing PayPal!,BTC/Bitcoin,0.025,$399.11 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-2.png" alt="" class="wp-image-52"/></figure>,Patricia,Martin,Congratulations on your order! We appreciate your business and hope you're eagerly anticipating its arrival.,(Bitcoin)BTC,0.025,$253.11 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-1.png" alt="" class="wp-image-19"/></figure>,John,Brophy,Congratulations on your purchase! Thank you for choosing PayPal as your payment provider.,(Bitcoin)BTC,0.025,$451.65 
